name,x,y,make,zone
Ja Morant,-27,5,1,2
Ja Morant,18,11,1,2
Ja Morant,3,28,1,2
Ja Morant,-14,22,1,2
Ja Morant,-2,21,0,2
Ja Morant,43,7,1,2
Ja Morant,0,176,0,2
Ja Morant,29,11,0,2
Ja Morant,133,243,0,3
Ja Morant,49,197,0,2
Ja Morant,13,21,1,2
Ja Morant,-27,25,0,2
Ja Morant,-155,247,1,3
Ja Morant,5,1,1,2
Ja Morant,16,-3,0,2
Ja Morant,2,6,0,2
Ja Morant,0,16,0,2
Ja Morant,51,182,0,2
Ja Morant,-10,5,0,2
Ja Morant,0,-6,1,2
Ja Morant,-16,8,0,2
Ja Morant,46,68,1,2
Ja Morant,-14,148,1,2
Ja Morant,78,247,0,3
Ja Morant,-92,186,0,2
Ja Morant,-2,-3,1,2
Ja Morant,-16,4,1,2
Ja Morant,62,116,1,2
Ja Morant,-14,11,0,2
Ja Morant,-70,73,0,2
Ja Morant,-14,8,1,2
Ja Morant,-9,3,1,2
Ja Morant,-67,64,0,2
Ja Morant,0,-6,0,2
Ja Morant,-3,14,1,2
Ja Morant,-63,248,1,3
Ja Morant,8,10,1,2
Ja Morant,2,3,1,2
Ja Morant,-30,21,0,2
Ja Morant,-4,6,1,2
Ja Morant,-101,46,1,2
Ja Morant,-15,1,0,2
Ja Morant,11,34,0,2
Ja Morant,-11,40,0,2
Ja Morant,116,266,0,3
Ja Morant,7,89,0,2
Ja Morant,-13,85,1,2
Ja Morant,17,25,0,2
Ja Morant,228,11,1,3
Ja Morant,-11,32,0,2
Ja Morant,92,243,0,3
Ja Morant,-68,79,1,2
Ja Morant,-9,54,1,2
Ja Morant,84,75,0,2
Ja Morant,3,8,1,2
Ja Morant,3,28,1,2
Ja Morant,18,8,1,2
Ja Morant,136,207,0,3
Ja Morant,-60,100,0,2
Ja Morant,5,190,0,2
Ja Morant,102,151,0,2
Ja Morant,55,106,0,2
Ja Morant,109,262,1,3
Ja Morant,16,14,1,2
Ja Morant,6,13,1,2
Ja Morant,8,27,0,2
Ja Morant,71,67,1,2
Ja Morant,161,195,1,3
Ja Morant,6,6,1,2
Ja Morant,12,14,1,2
Ja Morant,-2,5,1,2
Ja Morant,-14,6,0,2
Ja Morant,-94,34,0,2
Ja Morant,-53,79,1,2
Ja Morant,6,5,1,2
Ja Morant,0,-6,1,2
Ja Morant,55,101,0,2
Ja Morant,131,211,1,3
Ja Morant,1,4,1,2
Ja Morant,-99,148,1,2
Ja Morant,0,12,0,2
Ja Morant,-12,10,1,2
Ja Morant,-9,267,0,3
Ja Morant,84,6,0,2
Ja Morant,-6,6,1,2
Ja Morant,8,0,1,2
Ja Morant,-40,67,1,2
Ja Morant,-7,4,0,2
Ja Morant,73,45,0,2
Ja Morant,13,6,1,2
Ja Morant,-44,152,0,2
Ja Morant,-33,8,1,2
Ja Morant,-11,10,0,2
Ja Morant,2,42,0,2
Ja Morant,31,16,0,2
Ja Morant,-28,28,1,2
Ja Morant,-33,75,0,2
Ja Morant,3,126,0,2
Ja Morant,18,32,1,2
Ja Morant,26,12,0,2
Ja Morant,0,-6,0,2
Ja Morant,-7,11,1,2
Ja Morant,70,127,1,2
Ja Morant,86,38,1,2
Ja Morant,-40,44,0,2
Ja Morant,-29,63,1,2
Ja Morant,24,10,1,2
Ja Morant,-37,42,0,2
Ja Morant,-22,46,0,2
Ja Morant,-13,168,1,2
Ja Morant,-67,109,0,2
Ja Morant,78,210,1,2
Ja Morant,9,21,0,2
Ja Morant,5,13,1,2
Ja Morant,5,28,0,2
Ja Morant,3,137,0,2
Ja Morant,-6,7,0,2
Ja Morant,42,215,0,2
Ja Morant,223,10,0,3
Ja Morant,15,17,0,2
Ja Morant,-141,209,0,3
Ja Morant,0,104,0,2
Ja Morant,3,25,0,2
Ja Morant,11,3,0,2
Ja Morant,-97,42,0,2
Ja Morant,-40,73,0,2
Ja Morant,114,218,1,3
Ja Morant,0,84,0,2
Ja Morant,2,8,0,2
Ja Morant,2,12,1,2
Ja Morant,226,46,0,3
Ja Morant,64,32,0,2
Ja Morant,-12,26,0,2
Ja Morant,-6,31,1,2
Ja Morant,-28,7,1,2
Ja Morant,13,13,1,2
Ja Morant,10,11,1,2
Ja Morant,228,40,1,3
Ja Morant,87,260,0,3
Ja Morant,14,48,0,2
Ja Morant,-29,14,1,2
Ja Morant,-5,8,1,2
Ja Morant,-3,11,1,2
Ja Morant,43,129,1,2
Ja Morant,83,19,0,2
Ja Morant,1,13,0,2
Ja Morant,-6,6,1,2
Ja Morant,-77,283,0,3
Ja Morant,15,6,0,2
Ja Morant,-16,13,0,2
Ja Morant,91,238,1,3
Ja Morant,92,243,1,3
Ja Morant,2,-1,1,2
Ja Morant,-34,97,0,2
Ja Morant,-9,0,1,2
Ja Morant,-6,17,1,2
Ja Morant,7,19,0,2
Ja Morant,-20,257,0,3
Ja Morant,93,57,0,2
Ja Morant,-5,20,1,2
Ja Morant,3,0,1,2
Ja Morant,52,63,1,2
Ja Morant,6,-6,0,2
Ja Morant,39,117,0,2
Ja Morant,-4,256,0,3
Ja Morant,-68,197,0,2
Ja Morant,7,10,1,2
Ja Morant,122,225,0,3
Ja Morant,-8,14,0,2
Ja Morant,-2,20,0,2
Ja Morant,5,4,1,2
Ja Morant,-49,250,1,3
Ja Morant,-15,0,0,2
Ja Morant,-68,56,0,2
Ja Morant,-16,4,1,2
Ja Morant,-9,-4,1,2
Ja Morant,-4,13,0,2
Ja Morant,106,243,0,3
Ja Morant,78,243,0,3
Ja Morant,3,4,1,2
Ja Morant,-8,8,0,2
Ja Morant,-35,-4,0,2
Ja Morant,-62,56,1,2
Ja Morant,27,21,0,2
Ja Morant,-2,110,0,2
Ja Morant,-15,78,1,2
Ja Morant,127,163,0,2
Ja Morant,114,145,0,2
Ja Morant,-192,96,1,2
Ja Morant,60,200,0,2
Ja Morant,-39,62,0,2
Ja Morant,8,-4,0,2
Ja Morant,21,4,0,2
Ja Morant,127,228,0,3
Ja Morant,-46,97,1,2
Ja Morant,-229,4,1,3
Ja Morant,-7,10,1,2
Ja Morant,13,12,0,2
Ja Morant,-225,-10,1,3
Ja Morant,5,-4,1,2
Ja Morant,-2,6,1,2
Ja Morant,1,151,1,2
Ja Morant,-96,5,1,2
Ja Morant,-114,-12,0,2
Ja Morant,61,51,0,2
Ja Morant,11,12,0,2
Ja Morant,-2,32,1,2
Ja Morant,-30,20,0,2
Ja Morant,4,0,1,2
Ja Morant,-9,8,1,2
Ja Morant,-23,7,1,2
Ja Morant,145,202,0,3
Ja Morant,-3,151,0,2
Ja Morant,-9,-9,1,2
Ja Morant,5,128,0,2
Ja Morant,6,17,0,2
Ja Morant,4,17,0,2
Ja Morant,4,1,1,2
Ja Morant,-147,239,0,3
Ja Morant,3,27,0,2
Ja Morant,3,4,1,2
Ja Morant,5,6,0,2
Ja Morant,-76,117,1,2
Ja Morant,73,31,0,2
Ja Morant,-3,15,1,2
Ja Morant,-2,20,1,2
Ja Morant,-9,11,1,2
Ja Morant,9,13,0,2
Ja Morant,-8,15,0,2
Ja Morant,128,221,0,3
Ja Morant,15,16,0,2
Ja Morant,0,59,0,2
Ja Morant,0,-6,1,2
Ja Morant,15,12,0,2
Ja Morant,6,5,1,2
Ja Morant,-2,10,1,2
Ja Morant,-54,94,0,2
Ja Morant,15,8,1,2
Ja Morant,64,259,1,3
Ja Morant,-9,29,0,2
Ja Morant,0,-6,0,2
Ja Morant,-18,18,1,2
Ja Morant,-39,110,0,2
Ja Morant,-52,60,1,2
Ja Morant,20,2,0,2
Ja Morant,-52,257,1,3
Ja Morant,-7,120,0,2
Ja Morant,13,-1,0,2
Ja Morant,-62,122,0,2
Ja Morant,-41,79,1,2
Ja Morant,35,48,0,2
Ja Morant,63,262,0,3
Ja Morant,149,204,1,3
Ja Morant,18,13,0,2
Ja Morant,55,267,0,3
Ja Morant,-13,3,0,2
Ja Morant,-4,3,1,2
Ja Morant,170,319,0,3
Ja Morant,-196,188,0,3
Ja Morant,0,74,0,2
Ja Morant,169,220,1,3
Ja Morant,-43,269,1,3
Ja Morant,-22,115,0,2
Ja Morant,3,42,0,2
Ja Morant,-4,260,1,3
Ja Morant,-4,29,0,2
Ja Morant,217,127,0,3
Ja Morant,-100,9,1,2
Ja Morant,68,26,1,2
Ja Morant,-11,14,1,2
Ja Morant,133,169,1,2
Ja Morant,-4,5,1,2
Ja Morant,105,133,0,2
Ja Morant,107,95,1,2
Ja Morant,135,215,0,3
Ja Morant,2,7,1,2
Ja Morant,8,3,0,2
Ja Morant,5,9,0,2
Ja Morant,0,13,1,2
Ja Morant,64,139,0,2
Ja Morant,-3,6,1,2
Ja Morant,14,19,0,2
Ja Morant,57,116,0,2
Ja Morant,-44,256,1,3
Ja Morant,34,83,1,2
Ja Morant,2,222,1,2
Ja Morant,-54,43,0,2
Ja Morant,-29,54,0,2
Ja Morant,157,196,0,3
Ja Morant,2,11,1,2
Ja Morant,13,-14,0,2
Ja Morant,6,-1,1,2
Ja Morant,22,30,1,2
Ja Morant,-18,1,0,2
Ja Morant,3,103,1,2
Ja Morant,-111,239,1,3
Ja Morant,100,110,0,2
Ja Morant,18,262,1,3
Ja Morant,-35,100,1,2
Ja Morant,-28,12,1,2
Ja Morant,-150,210,0,3
Ja Morant,-11,2,1,2
Ja Morant,166,188,0,3
Ja Morant,-3,-4,1,2
Ja Morant,9,0,1,2
Ja Morant,60,28,0,2
Ja Morant,-70,55,0,2
Ja Morant,-60,80,1,2
Ja Morant,65,261,1,3
Ja Morant,-22,41,1,2
Ja Morant,101,194,1,2
Ja Morant,57,35,1,2
Ja Morant,-5,0,1,2
Ja Morant,30,69,0,2
Ja Morant,-7,22,1,2
Ja Morant,-20,146,1,2
Ja Morant,-39,94,1,2
Ja Morant,-3,147,0,2
Ja Morant,165,157,0,2
Ja Morant,2,26,0,2
Ja Morant,-54,55,0,2
Ja Morant,0,67,0,2
Ja Morant,-40,47,1,2
Ja Morant,18,15,0,2
Ja Morant,14,13,0,2
Ja Morant,5,18,0,2
Ja Morant,4,6,0,2
Ja Morant,-169,587,0,3
Ja Morant,125,50,1,2
Ja Morant,13,17,0,2
Ja Morant,-37,46,1,2
Ja Morant,-165,188,0,3
Ja Morant,13,34,1,2
Ja Morant,-133,222,0,3
Ja Morant,-11,6,0,2
Ja Morant,-2,-1,1,2
Ja Morant,3,14,0,2
Ja Morant,-10,4,0,2
Ja Morant,40,56,0,2
Ja Morant,153,467,0,3
Ja Morant,-2,-6,1,2
Ja Morant,-9,7,0,2
Ja Morant,-230,81,0,3
Ja Morant,-54,113,1,2
Ja Morant,11,-4,0,2
Ja Morant,2,-3,1,2
Ja Morant,49,258,1,3
Ja Morant,2,21,0,2
Ja Morant,27,270,0,3
Ja Morant,29,17,1,2
Ja Morant,25,28,0,2
Ja Morant,-11,5,0,2
Ja Morant,-4,4,1,2
Ja Morant,39,15,0,2
Ja Morant,-5,-5,1,2
Ja Morant,3,-10,1,2
Ja Morant,13,267,0,3
Ja Morant,-16,111,1,2
Ja Morant,35,61,1,2
Ja Morant,22,17,0,2
Ja Morant,-57,-4,0,2
Ja Morant,-11,138,0,2
Ja Morant,161,225,0,3
Ja Morant,-13,6,1,2
Ja Morant,-1,10,1,2
Ja Morant,37,27,1,2
Ja Morant,20,8,1,2
Ja Morant,-12,-1,0,2
Ja Morant,2,58,1,2
Ja Morant,-60,104,0,2
Ja Morant,4,18,1,2
Ja Morant,24,23,0,2
Ja Morant,30,17,0,2
Ja Morant,6,95,1,2
Ja Morant,-228,57,1,3
Ja Morant,-26,14,0,2
Ja Morant,-5,6,1,2
Ja Morant,25,1,1,2
Ja Morant,30,151,0,2
Ja Morant,-6,3,1,2
Ja Morant,-64,126,0,2
Ja Morant,-32,66,1,2
Ja Morant,145,214,0,3
Ja Morant,5,-7,1,2
Ja Morant,-9,8,0,2
Ja Morant,-63,53,0,2
Ja Morant,33,21,0,2
Ja Morant,14,-5,0,2
Ja Morant,-26,255,0,3
Ja Morant,2,10,1,2
Ja Morant,100,27,0,2
Ja Morant,57,13,1,2
Ja Morant,-14,28,0,2
Ja Morant,112,225,1,3
Ja Morant,21,15,0,2
Ja Morant,-126,242,1,3
Ja Morant,-19,12,1,2
Ja Morant,-36,49,0,2
Ja Morant,-18,8,1,2
Ja Morant,-27,15,1,2
Ja Morant,-1,26,1,2
Ja Morant,3,-7,1,2
Ja Morant,176,203,1,3
Ja Morant,164,188,0,3
Ja Morant,6,35,1,2
Ja Morant,-3,19,1,2
Ja Morant,120,232,0,3
Ja Morant,8,16,1,2
Ja Morant,-3,7,1,2
Ja Morant,-34,94,1,2
Ja Morant,239,74,0,3
Ja Morant,-6,16,1,2
Ja Morant,116,251,1,3
Ja Morant,-101,41,0,2
Ja Morant,9,9,0,2
Ja Morant,-82,-1,1,2
Ja Morant,139,252,0,3
Ja Morant,-2,4,1,2
Ja Morant,8,27,0,2
Ja Morant,98,135,0,2
Ja Morant,-19,4,1,2
Ja Morant,-15,1,1,2
Ja Morant,84,151,1,2
Ja Morant,1,0,1,2
Ja Morant,192,337,0,3
Ja Morant,90,5,1,2
Ja Morant,-2,11,1,2
Ja Morant,-16,18,0,2
Ja Morant,2,10,1,2
Ja Morant,78,64,0,2
Ja Morant,-13,12,1,2
Ja Morant,-5,99,0,2
Ja Morant,-20,68,0,2
Ja Morant,0,-6,1,2
Ja Morant,-70,164,1,2
Ja Morant,-72,94,1,2
Ja Morant,2,0,1,2
Ja Morant,233,-22,0,3
Ja Morant,-49,58,1,2
Ja Morant,98,128,0,2
Ja Morant,30,67,0,2
Ja Morant,-17,5,1,2
Ja Morant,69,150,0,2
Ja Morant,-38,59,0,2
Ja Morant,0,-6,1,2
Ja Morant,138,218,0,3
Ja Morant,-2,5,1,2
Ja Morant,-90,-4,0,2
Ja Morant,1,-5,1,2
Ja Morant,-27,0,0,2
Ja Morant,-3,-5,1,2
Ja Morant,-3,3,1,2
Ja Morant,-21,53,0,2
Ja Morant,-51,80,1,2
Ja Morant,22,103,1,2
Ja Morant,-25,106,1,2
Ja Morant,-9,4,1,2
Ja Morant,6,9,1,2
Ja Morant,-9,11,0,2
Ja Morant,100,231,1,3
Ja Morant,5,37,0,2
Ja Morant,18,80,0,2
Ja Morant,-10,0,0,2
Ja Morant,-41,83,0,2
Ja Morant,4,15,0,2
Ja Morant,-43,75,1,2
Ja Morant,65,92,0,2
Ja Morant,-121,232,0,3
Ja Morant,5,8,1,2
Ja Morant,2,15,1,2
