Player	Pos	Age	Team	MP	O-PIPM	D-PIPM	PIPM
Stephen Curry	PG	30	GSW	3,177	+7.17	+0.83	+8.00
Paul George	SF	28	OKC	3,045	+5.93	+2.04	+7.97
Giannis Antetokounmpo	PF	24	MIL	2,872	+4.87	+3.06	+7.93
Anthony Davis	C	25	NOP	1,85	+4.52	+3.01	+7.53
Joel Embiid	C	24	PHI	2,488	+4.04	+3.45	+7.48
Kevin Durant	SF	30	GSW	3,144	+5.92	+0.51	+6.43
James Harden	PG	29	HOU	3,291	+7.04	-0.77	+6.27
Nikola Vucevic	C	28	ORL	2,51	+4.15	+1.70	+5.85
LeBron James	SF	34	LAL	1,937	+4.92	+0.78	+5.70
Damian Lillard	PG	28	POR	3,488	+5.64	-0.04	+5.60
Rudy Gobert	C	26	UTA	2,729	+1.83	+3.66	+5.49
Jusuf Nurkic	C	24	POR	1,974	+2.56	+2.88	+5.44
Andre Drummond	C	25	DET	2,774	+3.35	+1.78	+5.13
Kawhi Leonard	SF	27	TOR	2,979	+5.08	-0.10	+4.99
Jrue Holiday	SG	28	NOP	2,402	+3.63	+1.34	+4.97
Nikola Jokic	C	23	DEN	2,504	+3.72	+1.10	+4.82
Russell Westbrook	PG	30	OKC	2,827	+4.29	+0.49	+4.78
Draymond Green	PF	28	GSW	2,916	+1.04	+3.63	+4.67
Karl-Anthony Towns	C	23	MIN	2,545	+3.75	+0.90	+4.65
Kyle Lowry	PG	32	TOR	3,114	+3.59	+0.88	+4.47
Pascal Siakam	PF	24	TOR	3,439	+2.60	+1.79	+4.40
Mike Conley	PG	31	MEM	2,342	+4.11	+0.23	+4.34
Marc Gasol	C	34	TOT	3,171	+0.77	+3.54	+4.31
Danny Green	SG	31	TOR	2,9	+2.81	+1.34	+4.15
Bradley Beal	SG	25	WAS	3,028	+4.39	-0.44	+3.95
Chris Paul	PG	33	HOU	2,254	+1.87	+2.06	+3.93
Brook Lopez	C	30	MIL	2,76	+1.41	+2.48	+3.88
Mitchell Robinson	C	20	NYK	1,36	+0.36	+3.47	+3.84
Eric Bledsoe	PG	29	MIL	2,695	+2.90	+0.90	+3.79
Kyrie Irving	PG	26	BOS	2,544	+4.13	-0.63	+3.50
Hassan Whiteside	C	29	MIA	1,674	+0.91	+2.52	+3.43
Willie Cauley-Stein	C	25	SAC	2,213	+1.05	+2.35	+3.41
Jimmy Butler	SF-SG	29	TOT	2,606	+2.82	+0.52	+3.34
Al Horford	C	32	BOS	2,283	+2.34	+0.96	+3.30
Kevin Love	PF	30	CLE	598	+2.71	+0.54	+3.25
De'Aaron Fox	PG	21	SAC	2,546	+2.10	+1.15	+3.25
Paul Millsap	PF	33	DEN	2,364	+1.79	+1.45	+3.24
Kemba Walker	PG	28	CHO	2,863	+4.34	-1.11	+3.23
Robert Covington	SF	28	TOT	1,203	-0.06	+3.27	+3.21
Steven Adams	C	25	OKC	2,828	+2.32	+0.82	+3.14
Blake Griffin	PF	29	DET	2,68	+3.79	-0.72	+3.08
Danilo Gallinari	SF	30	LAC	2,26	+3.30	-0.24	+3.06
Victor Oladipo	SG	26	IND	1,147	+2.10	+0.86	+2.96
Al-Farouq Aminu	PF	28	POR	2,691	+1.44	+1.47	+2.91
Otto Porter	SF	25	TOT	1,683	+1.75	+1.11	+2.86
DeMarcus Cousins	C	28	GSW	904	+0.28	+2.57	+2.85
Joe Ingles	PF	31	UTA	2,719	+1.61	+1.12	+2.73
Nemanja Bjelica	PF	30	SAC	1,788	+1.48	+1.21	+2.70
Jerami Grant	PF	24	OKC	2,788	+1.24	+1.28	+2.52
Dwight Powell	C	27	DAL	1,662	+2.69	-0.17	+2.52
Luke Kornet	PF	23	NYK	784	+0.89	+1.61	+2.50
Derrick Favors	C	27	UTA	1,869	+0.88	+1.50	+2.38
Derrick White	PG	24	SAS	1,919	+0.61	+1.77	+2.37
Jayson Tatum	SF	20	BOS	2,75	+1.15	+1.20	+2.36
Dewayne Dedmon	C	29	ATL	1,609	+0.65	+1.71	+2.35
John Collins	PF	21	ATL	1,829	+3.44	-1.14	+2.30
Myles Turner	C	22	IND	2,245	-0.49	+2.77	+2.27
Donovan Mitchell	SG	22	UTA	2,791	+2.03	+0.23	+2.25
Jeremy Lamb	SG	26	CHO	2,25	+1.44	+0.77	+2.21
Lauri Markkanen	PF	21	CHI	1,682	+2.14	+0.06	+2.19
Larry Nance	C	26	CLE	1,795	+0.60	+1.59	+2.19
Clint Capela	C	24	HOU	2,58	+0.83	+1.34	+2.17
Nikola Mirotic	PF	27	TOT	1,245	+2.20	-0.05	+2.15
Richaun Holmes	C	25	PHO	1,184	+0.42	+1.71	+2.13
Ed Davis	C	29	BRK	1,487	-0.40	+2.51	+2.11
Davis Bertans	PF	26	SAS	1,632	+2.00	+0.04	+2.04
Patrick Beverley	PG	30	LAC	2,332	+0.96	+1.05	+2.01
Mikal Bridges	SF	22	PHO	2,417	+0.42	+1.59	+2.01
Ben Simmons	PG	22	PHI	3,121	+1.34	+0.65	+1.99
Andre Iguodala	SF	35	GSW	2,207	+0.64	+1.34	+1.98
Khris Middleton	SF	27	MIL	2,908	+2.22	-0.24	+1.98
Luka Doncic	SG	19	DAL	2,318	+2.69	-0.72	+1.97
Ricky Rubio	PG	28	UTA	2,067	+1.28	+0.67	+1.96
Malcolm Brogdon	SG	26	MIL	2,03	+2.35	-0.40	+1.95
Joakim Noah	C	33	MEM	693	+0.19	+1.73	+1.92
D.J. Augustin	PG	31	ORL	2,41	+3.01	-1.12	+1.89
Shabazz Napier	PG	27	BRK	1,011	+1.83	+0.05	+1.89
Jonas Valanciunas	C	26	TOT	1,091	+1.62	+0.26	+1.88
Justise Winslow	SF	22	MIA	1,959	+0.72	+1.12	+1.84
Domantas Sabonis	C	22	IND	1,934	+0.99	+0.85	+1.84
Boban Marjanovic	C	30	TOT	681	+1.02	+0.81	+1.83
Jamal Murray	PG	21	DEN	2,955	+2.68	-0.88	+1.79
Maurice Harkless	SF	25	POR	1,803	-0.10	+1.86	+1.76
Thomas Bryant	C	21	WAS	1,496	+1.15	+0.60	+1.76
LaMarcus Aldridge	C	33	SAS	2,931	+1.43	+0.32	+1.75
CJ McCollum	SG	27	POR	3,01	+2.59	-0.86	+1.72
Jeff Teague	PG	30	MIN	1,264	+1.74	-0.03	+1.71
Bam Adebayo	C	21	MIA	1,913	+0.19	+1.51	+1.70
Josh Richardson	SG	25	MIA	2,539	+1.50	+0.17	+1.66
Kevon Looney	C	22	GSW	1,913	+0.97	+0.65	+1.62
Deandre Ayton	C	20	PHO	2,183	+0.73	+0.85	+1.58
Robert Williams	C	21	BOS	296	-1.44	+3.02	+1.58
Ekpe Udoh	C	31	UTA	326	+0.20	+1.36	+1.56
Ivica Zubac	C	21	TOT	1,079	-0.25	+1.80	+1.55
Cody Zeller	C	26	CHO	1,243	+0.69	+0.85	+1.54
Devin Booker	SG	22	PHO	2,242	+3.93	-2.40	+1.52
Maxi Kleber	PF	27	DAL	1,502	-0.02	+1.47	+1.46
Rudy Gay	PF	32	SAS	2,021	+0.51	+0.94	+1.45
Aaron Gordon	PF	23	ORL	2,797	+1.13	+0.30	+1.43
Luol Deng	SF	33	MIN	392	+0.88	+0.55	+1.43
Julius Randle	PF	24	NOP	2,232	+2.15	-0.73	+1.43
Lonzo Ball	PG	21	LAL	1,423	-0.10	+1.52	+1.42
Marvin Williams	PF	32	CHO	2,133	+0.61	+0.77	+1.38
JaVale McGee	C	31	LAL	1,671	+0.25	+1.13	+1.38
Noah Vonleh	PF	23	NYK	1,722	+0.31	+1.06	+1.37
Marcus Smart	SG	24	BOS	2,232	+1.02	+0.33	+1.35
John Wall	PG	28	WAS	1,104	+1.41	-0.06	+1.35
Kelly Olynyk	PF	27	MIA	1,812	+1.16	+0.17	+1.33
Zach LaVine	SG	23	CHI	2,171	+2.06	-0.75	+1.32
Pau Gasol	C	38	TOT	360	-0.13	+1.44	+1.31
Kyle Kuzma	PF	23	LAL	2,314	+1.89	-0.58	+1.31
Montrezl Harrell	C	25	LAC	2,316	+1.97	-0.67	+1.30
Buddy Hield	SG	26	SAC	2,615	+2.32	-1.08	+1.24
Tomas Satoransky	PG	27	WAS	2,164	+0.88	+0.34	+1.22
Kadeem Allen	SG	26	NYK	416	+1.32	-0.11	+1.21
J.J. Redick	SG	34	PHI	2,755	+1.85	-0.64	+1.20
Thabo Sefolosha	SF	34	UTA	651	-0.68	+1.88	+1.20
Jakob Poeltl	C	23	SAS	1,273	+0.31	+0.87	+1.18
Tobias Harris	PF	26	TOT	3,29	+1.06	+0.11	+1.17
Khem Birch	C	26	ORL	735	+0.11	+1.06	+1.17
J.J. Barea	PG	34	DAL	752	+1.98	-0.81	+1.17
Kenneth Faried	C	29	TOT	784	+1.14	-0.02	+1.12
T.J. Warren	SF	25	PHO	1,36	+1.24	-0.15	+1.09
Alex Len	C	25	ATL	1,544	+0.71	+0.35	+1.06
Nerlens Noel	C	24	OKC	1,115	-1.76	+2.82	+1.06
Jonathan Isaac	PF	21	ORL	2,133	-0.02	+1.07	+1.05
Serge Ibaka	C	29	TOR	2,51	+0.90	+0.15	+1.04
Tyus Jones	PG	22	MIN	1,56	+0.57	+0.44	+1.01
Reggie Jackson	PG	28	DET	2,397	+2.40	-1.41	+0.99
Michael Carter-Williams	PG	27	TOT	464	-0.06	+1.05	+0.99
De'Anthony Melton	PG	20	PHO	984	-0.77	+1.74	+0.96
Omri Casspi	SF	30	MEM	520	+0.11	+0.83	+0.94
Jaren Jackson	PF	19	MEM	1,515	-0.97	+1.88	+0.92
Cory Joseph	PG	27	IND	2,148	-0.36	+1.24	+0.88
Gorgui Dieng	C	29	MIN	1,031	-0.25	+1.10	+0.85
Daniel Theis	C	26	BOS	950	+0.28	+0.55	+0.83
D'Angelo Russell	PG	22	BRK	2,596	+2.15	-1.34	+0.82
Furkan Korkmaz	SG	21	PHI	715	+0.85	-0.04	+0.80
Darren Collison	PG	31	IND	2,26	+1.34	-0.55	+0.79
Brad Wanamaker	PG	29	BOS	360	+0.54	+0.23	+0.77
Elfrid Payton	PG	24	NOP	1,25	+0.84	-0.07	+0.77
DeAndre Jordan	C	30	TOT	2,047	-1.00	+1.75	+0.76
Derrick Rose	PG	30	MIN	1,392	+2.32	-1.56	+0.75
Kyle Anderson	SF	25	MEM	1,281	-1.16	+1.90	+0.75
Salah Mejri	C	32	DAL	399	-0.40	+1.14	+0.74
Kevin Huerter	SG	20	ATL	2,048	+1.05	-0.32	+0.73
Kris Dunn	PG	24	CHI	1,389	+0.12	+0.61	+0.73
Taj Gibson	PF	33	MIN	1,686	+0.40	+0.32	+0.72
Lou Williams	SG	32	LAC	2,169	+3.60	-2.91	+0.69
Eric Gordon	SG	30	HOU	2,568	+1.59	-0.91	+0.68
Raul Neto	PG	26	UTA	494	+1.08	-0.42	+0.66
David Nwaba	SG	26	CLE	984	+0.01	+0.65	+0.65
Jarrett Allen	C	20	BRK	2,206	+0.61	+0.03	+0.64
Henry Ellenson	PF	22	TOT	259	+0.08	+0.55	+0.63
Thaddeus Young	PF	30	IND	2,619	+0.66	-0.03	+0.63
Nicolas Batum	SF	30	CHO	2,354	-0.10	+0.73	+0.63
Trae Young	PG	20	ATL	2,503	+3.48	-2.87	+0.61
Damian Jones	C	23	GSW	418	-0.46	+1.07	+0.60
Bruno Caboclo	SF	23	MEM	800	+0.43	+0.16	+0.59
Ryan Arcidiacono	PG	24	CHI	1,961	+0.58	+0.01	+0.59
Gary Harris	SG	24	DEN	2,156	+0.39	+0.20	+0.59
Chris Boucher	PF	26	TOR	167	-0.01	+0.59	+0.58
Frank Kaminsky	C	25	CHO	755	+1.39	-0.82	+0.57
Christian Wood	PF	23	TOT	251	+0.45	+0.09	+0.54
Kyle O'Quinn	C	28	IND	373	-0.65	+1.19	+0.54
Cheick Diallo	PF	22	NOP	896	-0.57	+1.10	+0.53
Fred VanVleet	PG	24	TOR	2,352	+0.79	-0.32	+0.48
Trey Burke	PG	26	TOT	1,125	+1.86	-1.39	+0.46
Goran Dragic	PG	32	MIA	991	+1.30	-0.87	+0.43
Alex Caruso	PG	24	LAL	531	+0.22	+0.19	+0.41
Bobby Portis	PF	23	TOT	1,299	+1.29	-0.89	+0.40
Kelly Oubre	SF	23	TOT	1,935	+0.82	-0.42	+0.40
Corey Brewer	SF	32	TOT	492	-0.56	+0.95	+0.39
Jemerrio Jones	SF	23	LAL	143	-0.24	+0.58	+0.34
JaKarr Sampson	SF	25	CHI	127	+0.22	+0.09	+0.31
Ian Mahinmi	C	32	WAS	498	-1.72	+2.02	+0.30
Mason Plumlee	C	28	DEN	1,949	-0.66	+0.95	+0.30
Dwight Howard	C	33	WAS	230	-0.33	+0.63	+0.30
DeMar DeRozan	SG	29	SAS	2,939	+0.55	-0.26	+0.29
T.J. Leaf	PF	21	IND	532	+0.38	-0.09	+0.29
Andrew Bogut	C	34	GSW	313	-1.21	+1.49	+0.28
P.J. Tucker	PF	33	HOU	3,228	-1.08	+1.35	+0.27
Josh Hart	SG	23	LAL	1,715	-1.02	+1.29	+0.27
Bogdan Bogdanovic	SG	26	SAC	1,947	+0.95	-0.68	+0.27
John Henson	C	28	MIL	188	-0.14	+0.40	+0.26
George Hill	PG	32	TOT	1,697	+0.15	+0.10	+0.25
Marcus Morris	PF	29	BOS	2,345	+1.17	-0.95	+0.22
Caris LeVert	SF	24	BRK	1,207	+1.12	-0.93	+0.19
Klay Thompson	SG	28	GSW	3,47	+1.41	-1.22	+0.19
Derrick Jones	SF	21	MIA	1,153	-0.43	+0.61	+0.18
Jordan Clarkson	SG	26	CLE	2,214	+2.03	-1.85	+0.18
Rondae Hollis-Jefferson	SF	24	BRK	1,296	-0.62	+0.79	+0.17
Wendell Carter	C	19	CHI	1,11	-1.80	+1.96	+0.17
Evan Fournier	SG	26	ORL	2,728	+1.64	-1.49	+0.15
Amile Jefferson	PF	25	ORL	68	+0.15	-0.01	+0.14
Justin Anderson	SF	25	ATL	463	-0.39	+0.52	+0.13
Walt Lemon	PG	26	CHI	167	-0.05	+0.18	+0.13
Ray Spalding	PF	21	TOT	148	-0.42	+0.53	+0.12
Josh Okogie	SG	20	MIN	1,757	-0.65	+0.76	+0.11
Tristan Thompson	C	27	CLE	1,198	+0.41	-0.31	+0.11
Aaron Holiday	PG	22	IND	659	+0.28	-0.20	+0.08
R.J. Hunter	SG	25	BOS	26	+0.04	+0.03	+0.08
PJ Dozier	SG	22	BOS	51	+0.00	+0.06	+0.07
Ante Zizic	C	22	CLE	1,082	-0.35	+0.41	+0.06
Jordan McRae	SG	27	WAS	333	+0.16	-0.10	+0.06
Isaac Bonga	PG	19	LAL	120	-0.47	+0.52	+0.05
Alan Williams	PF	26	BRK	26	+0.01	+0.04	+0.05
Devin Robinson	SF	23	WAS	95	-0.01	+0.05	+0.04
Jae Crowder	SF	28	UTA	2,296	+1.17	-1.14	+0.04
Gary Payton	PG	26	WAS	16	+0.00	+0.02	+0.02
Emanuel Terry	PF	22	TOT	23	-0.01	+0.02	+0.01
Tahjere McCall	SG	24	BRK	8	+0.00	+0.01	+0.01
Michael Kidd-Gilchrist	PF	25	CHO	1,179	-1.00	+1.00	+0.01
Troy Caupain	PG	23	ORL	16	+0.01	-0.01	+0.01
Kenrich Williams	SF	24	NOP	1,079	-0.72	+0.72	+0.00
Tyler Ulis	PG	23	CHI	1	-0.00	+0.00	-0.00
Kobi Simmons	PG	21	CLE	2	-0.00	+0.00	-0.00
John Holland	SF	30	CLE	1	-0.00	+0.00	-0.00
Jaylen Morris	SG	23	MIL	29	-0.05	+0.05	-0.00
Tyler Davis	C	21	OKC	1	-0.00	-0.00	-0.00
Zhou Qi	PF	23	HOU	1	-0.00	-0.00	-0.00
Angel Delgado	C	24	LAC	15	-0.05	+0.04	-0.00
Trevon Duval	PG	20	MIL	6	-0.00	-0.00	-0.00
Donte Grantham	SF	23	OKC	2	-0.00	-0.00	-0.00
J.P. Macura	SG	23	CHO	17	-0.03	+0.03	-0.01
Zach Lofton	SG	26	DET	4	-0.01	+0.00	-0.01
Isaiah Hicks	PF	24	NYK	32	-0.06	+0.05	-0.01
Kostas Antetokounmpo	PF	21	DAL	11	-0.02	+0.01	-0.01
Kalin Lucas	PG	29	DET	6	-0.02	+0.01	-0.01
Jordan Sibert	SG	26	ATL	4	-0.00	-0.01	-0.01
Okaro White	PF	26	WAS	6	-0.02	+0.00	-0.01
George King	SF	25	PHO	6	-0.01	-0.01	-0.01
D.J. Stephens	SG	28	MEM	7	-0.02	+0.00	-0.02
Danuel House	SF	25	HOU	1,12	+0.28	-0.30	-0.02
Jarred Vanderbilt	PF	19	DEN	74	-0.25	+0.23	-0.02
Ike Anigbogu	C	20	IND	6	-0.02	-0.00	-0.02
Vince Carter	SF	42	ATL	1,33	-0.32	+0.30	-0.02
Damyean Dotson	SG	24	NYK	2,004	+0.08	-0.10	-0.02
Joe Chealey	PG	23	CHO	8	-0.02	-0.00	-0.02
Terrence Jones	PF	27	HOU	5	-0.02	-0.00	-0.02
Tyler Zeller	C	29	TOT	93	+0.02	-0.04	-0.02
Andre Ingram	SG	33	LAL	15	-0.04	+0.01	-0.03
Demetrius Jackson	PG	24	PHI	39	-0.00	-0.02	-0.03
Yante Maten	PF	22	MIA	13	-0.03	+0.00	-0.03
Terrence Ross	SG	27	ORL	2,296	+0.68	-0.71	-0.03
DeVaughn Akoon-Purcell	SG	25	DEN	22	-0.03	-0.00	-0.03
Trevor Ariza	SF	33	TOT	2,349	+0.20	-0.24	-0.03
Dzanan Musa	SG	19	BRK	39	-0.06	+0.03	-0.03
Quincy Acy	PF	28	PHO	123	-0.45	+0.42	-0.03
Patty Mills	PG	30	SAS	2,06	+1.99	-2.03	-0.04
Davon Reed	SG	23	IND	47	-0.04	+0.00	-0.04
Justin Patton	C	21	PHI	21	-0.05	+0.01	-0.04
Vince Edwards	SF	22	HOU	16	-0.03	-0.01	-0.04
Scott Machado	PG	28	LAL	19	-0.02	-0.02	-0.04
Zhaire Smith	SG	19	PHI	116	-0.06	+0.02	-0.04
Thomas Welsh	C	22	DEN	36	-0.04	-0.01	-0.04
Garrett Temple	SG	32	TOT	2,103	-1.43	+1.38	-0.05
Dusty Hannahs	SG	25	MEM	26	-0.06	+0.00	-0.05
Mitch Creek	SF	26	TOT	48	-0.03	-0.03	-0.06
Wayne Ellington	SG	31	TOT	1,428	+0.56	-0.62	-0.07
Donatas Motiejunas	PF	28	SAS	13	-0.05	-0.02	-0.07
Ryan Broekhoff	SG	28	DAL	453	+0.49	-0.56	-0.07
Melvin Frazier	SG	22	ORL	59	-0.14	+0.06	-0.08
DeMarre Carroll	PF	32	BRK	1,822	+0.62	-0.71	-0.08
Deyonta Davis	C	22	ATL	118	-0.31	+0.23	-0.09
